"Age","CortexVol","SubCortGrayVol","TotalGrayVol","SupraTentorialVol","CorticalWhiteMatterVol","X3rd.Ventricle_volume","X4th.Ventricle_volume","X5th.Ventricle_volume","Brain.Stem_volume","CC_Anterior_volume","CC_Central_volume","CC_Mid_Anterior_volume","CC_Mid_Posterior_volume","CC_Posterior_volume","CSF_volume","Accumbens.area_volume","Amygdala_volume","Caudate_volume","Cerebellum.White.Matter_volume","Cerebellum.Cortex_volume","choroid.plexus_volume","Hippocampus_volume","Inf.Lat.Vent_volume","Lateral.Ventricle_volume","non.WM.hypointensities_volume","Pallidum_volume","Putamen_volume","Thalamus.Proper_volume","VentralDC_volume","vessel_volume","WM.hypointensities_volume","Optic.Chiasm_volume","bankssts_volume","caudalanteriorcingulate_volume","caudalmiddlefrontal_volume","cuneus_volume","entorhinal_volume","frontalpole_volume","fusiform_volume","inferiorparietal_volume","inferiortemporal_volume","insula_volume","isthmuscingulate_volume","lateraloccipital_volume","lateralorbitofrontal_volume","lingual_volume","medialorbitofrontal_volume","middletemporal_volume","paracentral_volume","parahippocampal_volume","parsopercularis_volume","parsorbitalis_volume","parstriangularis_volume","pericalcarine_volume","postcentral_volume","posteriorcingulate_volume","precentral_volume","precuneus_volume","rostralanteriorcingulate_volume","rostralmiddlefrontal_volume","superiorfrontal_volume","superiorparietal_volume","superiortemporal_volume","supramarginal_volume","temporalpole_volume","transversetemporal_volume","bankssts_thickness","caudalanteriorcingulate_thickness","caudalmiddlefrontal_thickness","cuneus_thickness","entorhinal_thickness","frontalpole_thickness","fusiform_thickness","inferiorparietal_thickness","inferiortemporal_thickness","insula_thickness","isthmuscingulate_thickness","lateraloccipital_thickness","lateralorbitofrontal_thickness","lingual_thickness","medialorbitofrontal_thickness","middletemporal_thickness","paracentral_thickness","parahippocampal_thickness","parsopercularis_thickness","parsorbitalis_thickness","parstriangularis_thickness","pericalcarine_thickness","postcentral_thickness","posteriorcingulate_thickness","precentral_thickness","precuneus_thickness","rostralanteriorcingulate_thickness","rostralmiddlefrontal_thickness","superiorfrontal_thickness","superiorparietal_thickness","superiortemporal_thickness","supramarginal_thickness","temporalpole_thickness","transversetemporal_thickness"
19,490823.327854851,58112.6777629707,658275.34306221,1019312.1676843,449852.69581703,727.790254476767,1710.81337183795,2.88938398244871,20812.2920504988,872.87389936358,467.601491400786,461.152254139642,447.875541094278,906.372573038177,1037.79915120891,1446.99223021814,3636.32521145346,7791.06940914879,31227.3050727576,106808.406354835,2923.68186091462,9059.97477623645,390.527877590762,10306.1311312654,16.1907845183416,3118.95132977886,12160.1334717069,15251.7984340444,7909.26224226148,132.239389360662,1482.92562741424,182.339853121161,5409.33562475355,4607.13033929684,12798.9549930067,6234.98858110719,3249.15741759021,1984.60641157734,21750.536202467,28749.4052521231,23270.6720565025,13343.420675032,5419.7598703169,24305.6897918562,15547.9053177176,14713.2297714828,9878.61017862528,25266.6372043651,7487.41970317515,4915.9507353969,9684.68582216404,5190.70887385676,8351.95777639793,4348.37062453397,18878.515860247,7196.41804964633,27467.2379103234,20388.70631807,5238.63178206049,32530.6063103353,45282.9860271639,26704.4638535123,24948.0334388602,22289.5056183467,4479.34576300858,2202.6080632658,2.69731985146395,2.74875315738331,2.55199731435132,1.89959926506752,3.51924090336021,2.83344306560298,2.90557602697786,2.51267305573621,2.98751596677883,3.19933610181449,2.65211083389105,2.30397875427887,2.71345886493847,2.14309807454398,2.43910301731571,3.08891525314086,2.44542191670519,2.94963257520105,2.67996924553011,2.76560130555226,2.54089536168363,1.62125309205883,2.11278320177921,2.64713910389033,2.60532355579123,2.45777215198003,2.96142148097825,2.32065330725386,2.76087772587997,2.21047425713195,2.98004623012325,2.67532307299866,3.70853573412338,2.49619094213163
20,489140.370085383,58426.0499726593,656212.984632956,1018208.84862577,450521.637001405,733.253691215779,1705.39169312705,2.89615776683271,20821.7194963271,873.126718467604,467.007451749928,461.258021904257,447.295218432011,908.527199237556,1037.66225224849,1440.0034436702,3628.71408048816,7770.01086293147,31217.9202523341,106488.805024964,2928.92899231487,9046.5895576083,395.955072073587,10467.4863839562,16.651667254509,3113.72920266355,12123.8352781707,15228.2614054908,7896.93123287039,134.401467328802,1493.78395543927,183.899101296945,5387.47388076897,4581.9378080271,12765.437894471,6223.02935501352,3255.94561942048,1974.60399899572,21664.525201957,28658.508864217,23168.1393104955,13325.2550058975,5401.76412414902,24245.4246000617,15487.2686456308,14658.7690491029,9851.17543850833,25129.0618149889,7474.89662802384,4898.12463440564,9632.37330482126,5165.62282240533,8308.9537745527,4343.6354440753,18848.0257667419,7158.34307713572,27385.3431117464,20328.8131037146,5219.42975222656,32396.9107080706,45139.051385594,26641.5819411875,24862.1957495232,22206.8537505991,4480.04620968948,2197.38056081057,2.68973745307059,2.74035607326992,2.54816359348985,1.89718388456541,3.51784561717158,2.82602049638801,2.89779275752971,2.50847554980502,2.9794585434511,3.19045935590179,2.64537696476648,2.3006932178515,2.70541168450671,2.13805257382374,2.43233044107593,3.07877962434046,2.44130462601743,2.94148370797892,2.67289872940093,2.75925064526295,2.53338259384842,1.61949577771159,2.10950299827851,2.63992133192797,2.60050983250964,2.45262649478186,2.95184228844758,2.31700952275776,2.75466499894087,2.20738255968171,2.97174273325704,2.66852279280993,3.70532002597337,2.49028480758513
21,487443.486572583,58740.1267510707,654137.44557102,1017120.86966189,451217.727840746,738.62365576188,1699.72261729176,2.90287248371822,20831.6804703502,873.428164691644,466.44129764921,461.396770791812,446.736378711185,910.714456482344,1037.43659660492,1433.04610575097,3621.29039633078,7749.05260857195,31209.6835145289,106168.059609132,2934.19943241013,9033.42839830397,401.452887866327,10628.0528467611,17.106304538252,3108.63141064028,12088.1155434432,15205.4116310617,7884.83484360963,136.600134532951,1504.64564810541,185.455484879145,5365.40432657024,4556.54274075836,12732.0170288356,6211.18343816733,3262.77639520961,1964.41180641563,21578.0927911268,28567.3448869573,23064.8758067735,13306.9124079334,5383.50475478855,24185.0393609137,15426.1664832808,14604.2758709958,9823.34324468454,24990.0788509612,7462.53003764119,4880.171339091,9579.36861733306,5140.25574572349,8265.44171071549,4338.91424501688,18817.0663925736,7119.94600787328,27302.2298960198,20268.4461995602,5200.20225064984,32261.9395619203,44994.3693380616,26577.9310981219,24776.2433282124,22123.6803972762,4480.4682655215,2192.103942641,2.68208073769319,2.7317980935396,2.54426285500402,1.89474696784273,3.5163828840031,2.81842571604741,2.88989786886202,2.50419907353581,2.97130126999745,3.18148298513047,2.63863588833976,2.29735598543576,2.69726211798037,2.13297720167803,2.4254525997595,3.06850208305185,2.43712406055684,2.93319418026766,2.66574183003811,2.75280714070553,2.52577262457558,1.61774808598059,2.10612706468971,2.63261414732262,2.59561605603661,2.44740885891331,2.94208926542947,2.31328616343188,2.74835453923868,2.20420169698035,2.9633746284716,2.6616217935016,3.70195987678168,2.48424445807765
22,485737.366531509,59054.7778681159,652053.200912268,1016043.22289242,451932.010345804,743.93192562727,1693.88676732591,2.90954409501291,20841.9972742966,873.761833055491,465.893770370247,461.557605728066,446.191961496089,912.923247491301,1037.15277902315,1426.11025470641,3613.99133128306,7728.16197054262,31202.2018497385,105846.566386443,2939.48222702828,9020.41767834053,406.998423059179,10788.0875089674,17.556759052785,3103.6171285928,12052.7809168809,15183.0195270652,7872.89388158983,138.823183337916,1515.50978967242,187.009872919659,5343.19555511191,4531.0112357771,12698.6602589551,6199.41271880003,3269.63556143618,1954.0937378153,21491.370848271,28476.0107455756,22961.1205899748,13288.4545544914,5365.0710740255,24124.5723462205,15364.7607974348,14549.7568219624,9795.25114713651,24850.161972422,7450.26923601761,4862.13194650198,9525.90377720945,5114.70209435668,8221.58979097839,4334.20195301711,18785.7990173082,7081.33609337813,27218.3064663221,20207.7645425481,5180.95844680782,32126.1256576116,44849.2045712207,26513.7763324854,24690.2166907326,22040.1549682538,4480.70509652444,2186.7951363117,2.67437405395407,2.72313308193168,2.54031733658406,1.89229579555352,3.51487550483312,2.81071696486606,2.88192812098265,2.49986998784744,2.9630770163181,3.17243977683831,2.63189002448875,2.29398395995127,2.6890448229476,2.12788142873329,2.41850498949147,3.05812964701033,2.4329013493457,2.92481120704647,2.65852761566609,2.74630206660481,2.51809776383947,1.61600664313946,2.10268734303305,2.62524749937577,2.59066914703676,2.44214330738413,2.93222090207167,2.30950980839336,2.74197903897426,2.20096133646367,2.95496341589232,2.65465387712786,3.69850403354718,2.47811446650948
23,484026.699177218,59369.8730937061,649964.725692563,1014970.90041714,452655.526527329,749.21027832415,1687.96476622334,2.91618856262446,20852.4922098946,874.111318578933,465.355611184653,461.729631638779,445.65490635101,915.142474983185,1036.84139424813,1419.18592878245,3606.75405764674,7707.30627331587,31195.0822483598,105524.721636,2944.76642199722,9007.48377773498,412.568775742345,10947.8473598624,18.0050934813223,3098.64553140487,12017.6380478401,15160.8555098092,7861.02915392166,141.058406108501,1526.37546440004,188.563134470385,5320.91615934857,4505.40939136983,12665.3354476843,6187.67908514304,3276.50893457878,1943.71369717294,21404.4912516841,28384.6038653038,22857.1127047375,13269.9431189231,5346.55239364992,24064.0618277899,15303.2135548605,14495.2184868037,9767.03669584685,24709.7848395114,7438.06352714348,4844.04755368756,9472.21080196047,5089.05631885028,8177.56622143349,4329.49349373441,18754.3849205114,7042.62258516937,27133.9810258319,20146.9270696192,5161.70751017795,31989.9017808718,44703.8217717249,26449.3826524478,24604.1563528887,21956.4468734075,4480.84986871812,2181.47106937727,2.66664175047555,2.71441490218546,2.53634927592021,1.8898376483518,3.51334628063998,2.80295248312884,2.87392027389946,2.49551465365877,2.95481865231326,3.16336251836306,2.62514179309128,2.29059404431765,2.68079445699655,2.12277472561599,2.41152310639691,3.04770933395121,2.42865762140634,2.91638200329459,2.65128515450927,2.7397666976856,2.51039032161444,1.61426807546183,2.09921577532874,2.6178513373889,2.58569602617473,2.43685390320405,2.92229568852189,2.30570703675939,2.73557119034847,2.19769114556744,2.94653059564463,2.64765284574287,3.6950012432687,2.4719394057809
24,482316.173724771,59685.2821977522,647876.494947768,1013898.89433582,453379.318396073,754.490491364719,1682.03723697789,2.92282184846054,20862.9875788727,874.46021628176,464.817561364043,461.901953449711,445.118152840237,917.361041676755,1036.53303702482,1412.26316622505,3599.51574772355,7686.45284136409,31187.9317007894,105202.921636908,2950.04106314482,8994.55307650438,418.141044006025,11107.5893887334,18.4533705070785,3093.67579396024,11982.4935856774,15138.6899956017,7849.16146771576,143.293595209513,1537.24175654802,190.11613858322,5298.63473223479,4479.80330582302,12632.0104578779,6175.9444254278,3283.38233111601,1933.33558846679,21317.5858796605,28293.2216713736,22753.0911956997,13251.4397745802,5328.03802545181,24003.5460774301,15241.6867223251,14440.6674503208,9738.83744079815,24569.4211123692,7425.86221500921,4825.95925769676,9418.52170909612,5063.41286974971,8133.53920817289,4324.78379282717,18722.9853817494,7003.91473476613,27049.6617777276,20086.0927177146,5142.45861023771,31853.7007174282,44558.4856262281,26385.015066179,24518.1028304854,21872.725522613,4480.99574812234,2176.1486693923,2.65890817587996,2.70569741804027,2.53238091070271,1.88737980689159,3.51181801240204,2.79519051112062,2.86591108762032,2.49115943188867,2.94655904788313,3.15428399704249,2.61839361402521,2.28720314145451,2.67254567771536,2.11766656295257,2.4045424466009,3.03728816160979,2.42441400576103,2.90795378399123,2.64404351479209,2.7332323086727,2.50268260787486,1.61252900922134,2.09574430359701,2.61045561066349,2.58072361411514,2.43156470938281,2.91237211492787,2.30190442764712,2.72916368556219,2.19442079172746,2.93809766785394,2.64065250140079,3.6915002529451,2.4657638487922
25,480610.479389223,60000.8749501654,645792.983713749,1012822.19674823,454094.427962786,759.80434226118,1676.1848025834,2.92945991442882,20873.3056829592,874.792121183761,464.270362180031,462.063676086621,444.574640528057,919.567850290769,1036.25830209816,1405.33200528015,3592.21357381522,7665.56899915968,31180.3571974241,104881.562668272,2955.29519629896,8981.55195466576,423.692325940418,11267.5705848678,18.9036528132678,3088.66709114268,11947.1541797491,15116.2934007507,7837.2116300828,145.516543005756,1548.10775037609,191.669754310061,5276.41986672512,4454.25907742318,12598.6531523908,6164.17062788571,3290.24156752644,1923.02331567504,21230.7866104947,28201.9615890168,22649.2951074996,13233.0061948143,5309.61728122121,23943.0633669493,15180.3422665962,14386.1102973145,9710.79093197303,24429.5444511357,7413.61460360519,4807.90815557856,9365.06851612642,5037.86619760038,8089.67695728866,4320.06777595381,18691.7616805879,6965.32179368752,26965.7569251876,20025.4204237756,5123.22091646458,31717.9552530079,44413.460821384,26320.9385818489,24432.0966393277,21789.160325746,4481.23590075693,2170.84486391139,2.65119767878962,2.69703449323542,2.52843447862179,1.88492955182693,3.51031350109764,2.78748928912628,2.85793732215309,2.48683068345599,2.93833107292793,3.14523700021437,2.61164790716839,2.28382815428148,2.66433314269218,2.11256641136949,2.39759850622848,3.02691314772137,2.4201916314321,2.89957376411562,2.63683176473896,2.72673017429093,2.49500693259509,1.6107860706916,2.09230486985807,2.60309026850104,2.57577883152263,2.42629978893015,2.90250867143732,2.29812856017371,2.72278921681628,2.1911799423795,2.92968613264564,2.63368664615581,3.68804980957523,2.45963236844367
26,478914.305385635,60316.5211208567,643718.667026368,1011735.79975413,454791.897238219,765.183608525731,1670.4880860337,2.93611872243698,20883.2688238827,875.090628304726,463.704754904233,462.203904475269,444.017308978758,921.751803543987,1036.0477842131,1398.38248419371,3584.78470822348,7644.62207117503,31171.9657286606,104561.041009196,2960.51786728754,8968.40679223614,429.199719635724,11428.0479375528,19.3580030831047,3083.57859783594,11911.4264794118,15093.4361415643,7825.10044813341,147.715041862036,1558.97253014401,193.224850702808,5254.34015577416,4428.84280445678,12565.2313940775,6152.3195807482,3297.07246028867,1912.84078277594,21144.2253224813,28110.9210434652,22545.9634847753,13214.704052977,5291.37947274813,23882.6519681554,15119.3421544411,14331.5536125858,9683.03471935407,24290.6285159507,7401.2699969218,4789.93534438195,9312.0832405614,5012.51075294769,8046.14767487291,4315.34036877274,18660.8750965929,6926.95301345265,26882.6746713904,19965.0691247432,5104.00359833603,31583.0981733383,44269.0120438464,26257.4182076274,24346.1782952203,21705.9206926822,4481.66349264169,2165.57658048914,2.64353460782686,2.68847999151022,2.52453221736768,1.88249416381183,3.50885554770515,2.77990705743068,2.85003573750562,2.48255476927959,2.93016759734786,3.13625431521646,2.60490709239868,2.28048598571816,2.65619150951516,2.1074837414932,2.39072678140473,3.01663131002124,2.41601162744182,2.89128915864698,2.62967897257431,2.7202915692651,2.48739560574948,1.60903588614625,2.08892941613216,2.59578526020302,2.57088859906181,2.4210832048558,2.89276384819799,2.29440601345634,2.71648047631159,2.18799826495936,2.92131749014516,2.62678908206209,3.68469866015793,2.45358953763559
27,477232.340929063,60632.0904797372,641658.019921491,1010634.69545331,455462.768233123,770.660067670574,1665.02771032264,2.94281423439268,20892.6993033714,875.339332664444,463.111480808262,462.311743541414,443.439097756629,923.901804155167,1035.93207811459,1391.40464121166,3577.16632325007,7623.57938188252,31162.3642848955,104241.752938783,2965.69812193844,8955.04396923258,434.640323182144,11589.2784360759,19.8184839998036,3078.36948892379,11875.1171340219,15069.8886343505,7812.74872897825,149.876884143158,1569.83518011152,194.782296813357,5232.46419233646,4403.62058521033,12531.713045793,6140.35317224669,3303.86082588128,1902.85189374769,21058.0338939146,28020.1974599507,22443.3353721648,13196.59502242,5273.41391182261,23822.3501528565,15058.8483526273,14277.0039809357,9655.70635292389,24153.1469669543,7388.77769894946,4772.08192115593,9259.79789991106,4987.44098633705,8003.11956701771,4310.59649694235,18630.4869093303,6888.91764558064,26800.8232195146,19905.1977575585,5084.81582532954,31449.5622641467,44125.4039802691,26194.7189516844,24260.3883139681,21623.1760332972,4482.37168979643,2160.36074668016,2.63594331161399,2.68008777660399,2.52069636463063,1.88008092350032,3.50746695320289,2.77250205631871,2.84224309368579,2.47835805027833,2.92210149104314,3.12736872938653,2.5981735895939,2.27719353868418,2.64815543577244,2.10242802395015,2.38396276825472,3.00648966624472,2.41189512281252,2.88314718256454,2.62261420652255,2.71394776832001,2.47988093731239,1.60727508185893,2.0856498844395,2.58857053507093,2.56607983739731,2.4159390201695,2.88319613535759,2.29076336661218,2.710270156249,2.1849054269028,2.91301324047791,2.61999361117379,3.68149555169205,2.44767992926825
28,475569.275234566,60947.452796718,639615.51743498,1009513.87594551,456098.082958247,776.265497207909,1659.88429844405,2.9495624122036,20901.4194231539,875.521829282705,462.481281163734,462.376298210816,442.832946425956,926.006754843067,1035.94177854759,1384.38851457996,3569.29559119672,7602.40825575455,31151.1598565256,103924.094736138,2970.82500607953,8941.3898656721,439.991234669877,11751.5190697242,20.2871582465789,3072.99893928996,11838.0327929359,15045.4212954172,7800.07727972798,151.989862213928,1580.69478453837,196.342961693606,5210.8605693666,4378.6585179703,12498.0659703918,6128.2332906126,3310.59248078287,1893.12055256853,20972.3442030893,27929.8882637049,22341.6498143065,13178.740776495,5255.80991023466,23762.1961928608,14999.0228279222,14222.4679871651,9628.94338266508,24017.5734642866,7376.08701367856,4754.3889829495,9208.44451168543,4962.75134831388,7960.76083981517,4305.83108612105,18600.7583983659,6851.32494159061,26720.6107727384,19845.9652591626,5065.66676692257,31317.7803111603,43982.9013173059,26133.1058221896,24174.7672113759,21541.0957574667,4483.45365824096,2155.21429003903,2.62844813877334,2.67191171225606,2.51694915810086,1.87769711154643,3.50617051856923,2.76533252607524,2.83459615070145,2.47426688737109,2.91416562391397,3.11861303006234,2.59144981863193,2.27396771609916,2.64025957905217,2.0974087293668,2.3773419629035,2.9965352341271,2.40786324656648,2.87519505084751,2.61566653480811,2.70773004618048,2.47249523725819,1.60550028410325,2.0824982168003,2.58147604240624,2.56137946719377,2.41089129788099,2.87386402306385,2.28722719875837,2.70419094882937,2.18193109564563,2.90479488376928,2.61333403554509,3.67848923117645,2.44194811624193
